; matrix-scan  -v 1 -matrix_format jaspar -m JASPAR2024_CORE_non-redundant_pfms_jaspar.txt -bginput -markov 1 -pseudo 1 -decimals 1 -2str -origin end -return distrib -return occ_proba -sort_distrib -uth occ_pval 1e-4 -lth occ_sig 0 -uth occ_sig_rank 1 -lth score 5 -i promotores_seq_chr20.fa -seq_format fasta -n skip -o mat_final_promotores2.tab
; Slow counting mode            
; Input files
;	input	promotores_seq_chr20.fa
; Matrix files
;	matrix 1	JASPAR2024_CORE_non-redundant_pfms_jaspar.txt
; Sequence format      	fasta
; Output files
;	output	mat_final_promotores2.tab
; Pseudo counts        	1
; Background model
;	Method        	input
;	Markov order  	1
;	Strand        	undef
;	Background pseudo-frequency	0.01
;	Residue probabilities
;		a	0.24313
;		c	0.25321
;		g	0.25756
;		t	0.24610
; Thresholds	lower	upper
;	occ_pval	NA	0.0001
;	occ_sig	0    	NA
;	occ_sig_rank	NA	1    
;	score 	5    	NA
;
; Matrices
;	matrix	name                      	ncol	nrow	pseudo	Wmin	Wmax	Wrange
;	41	Nr2e1                     	9	4	1	-41.100	10.800	51.900	a:0.243 c:0.253 g:0.258 t:0.246 
;	42	OLIG2                     	10	4	1	-49.300	11.500	60.800	a:0.243 c:0.253 g:0.258 t:0.246 
;	43	PAX4                      	8	4	1	-26.100	9.200	35.300	a:0.243 c:0.253 g:0.258 t:0.246 
;	44	Rxra                      	14	4	1	-71.400	17.900	89.300	a:0.243 c:0.253 g:0.258 t:0.246 
;	45	SRF                       	16	4	1	-72.300	18.400	90.700	a:0.243 c:0.253 g:0.258 t:0.246 
;	46	TBXT                      	16	4	1	-66.400	18.200	84.600	a:0.243 c:0.253 g:0.258 t:0.246 
;	47	TBX20                     	11	4	1	-42.400	12.700	55.100	a:0.243 c:0.253 g:0.258 t:0.246 
;	48	TFAP4                     	10	4	1	-51.400	11.900	63.300	a:0.243 c:0.253 g:0.258 t:0.246 
;	49	ZIC1                      	14	4	1	-77.000	16.600	93.600	a:0.243 c:0.253 g:0.258 t:0.246 
;	50	PHOX2A                    	11	4	1	-40.400	12.400	52.800	a:0.243 c:0.253 g:0.258 t:0.246 
;	51	PROP1                     	11	4	1	-47.300	13.500	60.800	a:0.243 c:0.253 g:0.258 t:0.246 
;	52	VENTX                     	9	4	1	-57.600	9.900	67.500	a:0.243 c:0.253 g:0.258 t:0.246 
;	53	Nr2F6                     	15	4	1	-84.800	19.200	104.000	a:0.243 c:0.253 g:0.258 t:0.246 
;	54	RARA                      	18	4	1	-110.200	22.100	132.300	a:0.243 c:0.253 g:0.258 t:0.246 
;	55	RARA                      	17	4	1	-74.300	19.600	93.900	a:0.243 c:0.253 g:0.258 t:0.246 
;	56	BCL6B                     	17	4	1	-94.100	22.200	116.300	a:0.243 c:0.253 g:0.258 t:0.246 
;	57	EGR2                      	11	4	1	-60.000	13.500	73.500	a:0.243 c:0.253 g:0.258 t:0.246 
